Blockage of 12 Out Of 13 PLC Systems,2004,Other,Switzerland,https://www.risidata.com/Database/event_date/asc/P90
Theft of Relay Programming Laptops,2004,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P90
Instability of the OSI Layer-2 Bridging,2004,Other,Switzerland,https://www.risidata.com/Database/event_date/asc/P90
Sasser Worm Causes Loss of View in Chemicals Plant,2004,Chemical,United States,https://www.risidata.com/Database/event_date/asc/P90
Sasser Worm Infection in Process Control System.,2004,Petroleum,United Kingdom,https://www.risidata.com/Database/event_date/asc/P90
Virus Impacts Paper Machine HMI,2004,Pulp and Paper,United States,https://www.risidata.com/Database/event_date/asc/P90
Sasser Worm Hits British Airways,2004,Transportation,United Kingdom,https://www.risidata.com/Database/event_date/asc/P90
UK Maritime and Coastguard Agency Hit by Sasser Worm,2004,Other,United Kingdom,https://www.risidata.com/Database/event_date/asc/P90
Korgo Worm Infects 20 Workstations,2004,Unknown,Unknown,https://www.risidata.com/Database/event_date/asc/P90
Unauthorized Connection Permits Sasser Infection,2004,Unknown,Unknown,https://www.risidata.com/Database/event_date/asc/P90
Sasser Infection from the Enterprise Network,2004,Other,Unknown,https://www.risidata.com/Database/event_date/asc/P90
Weekly Connection Loss to PLCs,2004,Other,Switzerland,https://www.risidata.com/Database/event_date/asc/P90
Two Viruses Cause Near Miss With Process Control Networks (PCN) in Africa,2004,Petroleum,Chad,https://www.risidata.com/Database/event_date/asc/P90
Worm attack on Drilling Control system,2004,Petroleum,United Kingdom,https://www.risidata.com/Database/event_date/asc/P90
SCADA Workstation Infected by W32/Korgo Worm,2004,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P90
Spybot Infection,2004,Unknown,Unknown,https://www.risidata.com/Database/event_date/asc/P90
Air Traffic Radar System in Palmdale California Crashes,2004,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P90
Trojan Backdoor on Water SCADA System,2004,Water/Waste Water,Canada,https://www.risidata.com/Database/event_date/asc/P90
Loss of Network Traffic on PCN,2004,Food & Beverage,United States,https://www.risidata.com/Database/event_date/asc/P90
Backdoor Trojan Attack on Manufacturing Lab,2004,Electronic Manufacturing,Unknown,https://www.risidata.com/Database/event_date/asc/P90
Ping Sweep Caused DOS on PCN Firewall,2005,Petroleum,United Kingdom,https://www.risidata.com/Database/event_date/asc/P90
Routine Audit of SCADA Laptop Identifies Virus,2005,Water/Waste Water,Australia,https://www.risidata.com/Database/event_date/asc/P90
Offsite Fiber Cable Cut Causes Loss of Communications,2005,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P90
Errant AntiVirus Definition Brings Down Railway LANs,2005,Transportation,Japan,https://www.risidata.com/Database/event_date/asc/P90
Japanese Nuclear Company Virus Attack,2005,Power and Utilities,Japan,https://www.risidata.com/Database/event_date/asc/P90
E-Tag Incident,2005,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P90
"Zotob, PnP Worms Hit 13 Automotive Manufacturing Plants",2005,Automotive,United States,https://www.risidata.com/Database/event_date/asc/P90
Attempted Cover-Up of Sewage Spillage,2005,Water/Waste Water,Australia,https://www.risidata.com/Database/event_date/asc/P120
PLC Crash In Food Plant,2005,Food & Beverage,United States,https://www.risidata.com/Database/event_date/asc/P120
Partial Loss of PLC Program,2005,Food & Beverage,United Kingdom,https://www.risidata.com/Database/event_date/asc/P120
Software Vendor Patch Crashes SCADA System,2005,Food & Beverage,United Kingdom,https://www.risidata.com/Database/event_date/asc/P120
Taum Sauk Water Storage Dam Failure,2005,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P120
Server Out of Memory,2006,Other,Italy,https://www.risidata.com/Database/event_date/asc/P120
Remote Software Upgrade Causes Loss of Control & View,2006,Transportation,United Kingdom,https://www.risidata.com/Database/event_date/asc/P120
Cancer Treatment Delayed by Virus,2006,Other,United Kingdom,https://www.risidata.com/Database/event_date/asc/P120
Trojan Found on SCADA Server,2006,General Manufacturing,Russia,https://www.risidata.com/Database/event_date/asc/P120
Power Plant Security Information Leaked Onto Internet,2006,Power and Utilities,Japan,https://www.risidata.com/Database/event_date/asc/P120
Power Network Survives Virus Attack,2006,Power and Utilities,India,https://www.risidata.com/Database/event_date/asc/P120
Browns Ferry Nuclear Plant Scrammed (Shut Down),2006,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P120
Engineers Hack into Los Angeles Traffic Signal Computer,2006,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P120
Pennsylvania Water Company Hack,2006,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P120
SCADA Communictions Problems Cause Breakdown in Water Supply,2007,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P120
Energy Company Exposed to Hackers by a Phishing Attack,2007,Power and Utilities,Unknown,https://www.risidata.com/Database/event_date/asc/P120
Software failure contributes to rail car fire,2007,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P120
Computer Glitch Causes Overflowing Water Tower,2007,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P120
Sewage Spill Shuts Down a Cornish Shellfishery,2007,Water/Waste Water,United Kingdom,https://www.risidata.com/Database/event_date/asc/P120
Computer Glitch Causes Major Power Outage,2007,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P120
California Canal System Hack,2007,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P120
Switch Malfunction Causes Sewage Spill,2007,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P120
"Automated Antiaircraft Cannon Malfunctions, Kills 9, Wounds 14",2007,Other,South Africa,https://www.risidata.com/Database/event_date/asc/P120
Former System Administrator Sentenced for Wrecking Corporate Servers,2007,General Manufacturing,United States,https://www.risidata.com/Database/event_date/asc/P120
Schoolboy Hacks into Polish Tram System,2008,Transportation,Poland,https://www.risidata.com/Database/event_date/asc/P120
Blackout in Florida,2008,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P120
SCADA System Failure Causes Shut down of Dublin Port Tunnel,2008,Transportation,Ireland,https://www.risidata.com/Database/event_date/asc/P120
SCADA System Collapse Leads to Tunnel Closure,2008,Transportation,Ireland,https://www.risidata.com/Database/event_date/asc/P120
Georgia Nuclear Power Plant Shutdown,2008,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P120
Limerick Nuclear Reactor 1 Shut Down,2008,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P120
Hacker Disabled Offshore Oil Platforms,2008,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P150
Steel Plant infection with Ahack Worm,2008,Metals,Brazil,https://www.risidata.com/Database/event_date/asc/P150
Tunnel Shutdown after Fault in Control System,2008,Transportation,Australia,https://www.risidata.com/Database/event_date/asc/P150
Baku-Tbilisi-Ceyhan Pipeline explosion,2008,Petroleum,Turkey,https://www.risidata.com/Database/event_date/asc/P150
Hacker Activates Emergency Sirens,2008,Other,United States,https://www.risidata.com/Database/event_date/asc/P150
Computer Problems Causes Flight Delays,2008,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P150
Chemical Plant Explosion,2008,Chemical,United States,https://www.risidata.com/Database/event_date/asc/P150
Computer Glitch Causes Airplane Plunge,2008,Transportation,Australia,https://www.risidata.com/Database/event_date/asc/P150
Computer Virus Infects Three London Hospitals,2008,Other,United Kingdom,https://www.risidata.com/Database/event_date/asc/P150
Failed Sensor on Wind Turbine Caused Shower of Ice Shards,2008,Power and Utilities,United Kingdom,https://www.risidata.com/Database/event_date/asc/P150
Car Manufacturer Infected with Computer Virus,2008,Automotive,Japan,https://www.risidata.com/Database/event_date/asc/P150
Texas Road Sign Hack,2009,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P150
Faulty Software Causes Torrens Lake Drain,2009,Water/Waste Water,Australia,https://www.risidata.com/Database/event_date/asc/P150
Computer glitch caused plane’s altitude to drop,2009,Transportation,Australia,https://www.risidata.com/Database/event_date/asc/P150
Texas Power Company Hack,2009,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P150
Computer Virus Strikes Two Scottish Hospitals,2009,Other,United Kingdom,https://www.risidata.com/Database/event_date/asc/P150
Wastewater pumped into Jones Falls,2009,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P150
Environmental Southland Target of Cyber Vandals,2009,Other,New Zealand,https://www.risidata.com/Database/event_date/asc/P150
Computer Failure Causes Jet Crash,2009,Transportation,France,https://www.risidata.com/Database/event_date/asc/P150
Washington DC Metro Accident,2009,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P150
Hospital HVAC Hack,2009,Other,United States,https://www.risidata.com/Database/event_date/asc/P150
Wrong Signal Shuts Down Cooling Systems,2009,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P150
Computer Glitch Causes 7 Water Mains to Break,2009,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P150
Flood Warning System Failure Causes Flooding,2009,Water/Waste Water,United Kingdom,https://www.risidata.com/Database/event_date/asc/P150
Lightning Strikes Cause Sewage Pump Station Overflow,2009,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P150
Computer Glitch Floods Neighborhood,2009,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P150
Energy Company Virus Attack,2009,Power and Utilities,Australia,https://www.risidata.com/Database/event_date/asc/P150
Paperless Chart Recorder Software Hacked,2009,Unknown,United Kingdom,https://www.risidata.com/Database/event_date/asc/P150
PC_SALITY.EN Virus Infects DCS Servers and Historians,2009,Chemical,South Africa,https://www.risidata.com/Database/event_date/asc/P150
Refinery Explosion and Fire Caused by Non-Functioning Computerized Level Monitoring System,2009,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P150
Computer Error Causes Flight Delays,2009,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P180
Puget Sound Sewage Spill,2009,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P180
Faulty Water Level Alarm Cause of Sewage Spill,2009,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P180
Computer Glitch Causes Sewage Spill,2009,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P180
Disgruntled Employee Remotely Disables Cars using the Webtech Plus System,2010,Automotive,United States,https://www.risidata.com/Database/event_date/asc/P180
Cyber Attack on Texas Electricity Provider,2010,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P180
Power Failure Leads to Sewage Spill in Washington,2010,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P180
SCADAlalarm & PCAnywhere compatibility,2010,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P180
Trans-Alaska pipeline spill,2010,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P180
Computer Glitch Causes Monongahela Incline Shut Down,2010,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P180
Malware Shuts Down Milling Factory,2010,General Manufacturing,Iran,https://www.risidata.com/Database/event_date/asc/P180
SCADA Water System Fails,2010,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P180
Control system failure causes shutdown of liquified natural gas terminal,2010,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P180
Computer Glitch Causes Water Outage,2010,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P180
Faulty Train Signal Sends Train on Collision Course,2010,Transportation,United Kingdom,https://www.risidata.com/Database/event_date/asc/P180
San Bruno Pipeline Explosion,2010,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P180
Gas Leak Caused by Computer Malfunction,2010,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P180
Malware Targets Uranium Enrichment Facility,2010,Power and Utilities,Iran,https://www.risidata.com/Database/event_date/asc/P180
Water plant shut down by computer glitch,2010,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P180
Control system failure caused phosphine leak,2011,Chemical,India,https://www.risidata.com/Database/event_date/asc/P180
Hacker froze operations at pharmaceutical company,2011,Pharmaceutical,United States,https://www.risidata.com/Database/event_date/asc/P180
Steel plant infected with Conficker,2011,Metals,,https://www.risidata.com/Database/event_date/asc/P180
Computer Glitch Prevents Return of Gas Service,2011,Petroleum,Israel,https://www.risidata.com/Database/event_date/asc/P180
Faulty Signaling Software Causes Train Delays,2011,Transportation,United Kingdom,https://www.risidata.com/Database/event_date/asc/P180
Emergency flight landing caused by computer glitch,2011,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P180
Computer glitch blamed for train signalling failure,2011,Transportation,Australia,https://www.risidata.com/Database/event_date/asc/P180
Computer Glitch Causes Ride Shutdown,2011,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P180
Circuit card shuts down nuclear plant,2011,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P180
Control system failure causes bridge delays,2011,Transportation,Guyana,https://www.risidata.com/Database/event_date/asc/P180
